tomato_id,ripeness_class,estimated_harvest_date,frames_tracked
1,green,2026-09-07,14
2,green,2026-09-07,16
3,green,2026-09-07,17
4,green,2026-09-07,17
5,green,2026-09-07,15
6,green,2026-09-07,20
7,green,2026-09-07,35
8,green,2026-09-07,5
9,green,2026-09-07,20
10,green,2026-09-07,7
11,green,2026-09-07,19
12,half_ripened,2026-08-30,1
13,green,2026-09-07,3
16,green,2026-09-07,1
22,green,2026-09-07,9
25,half_ripened,2026-08-30,5
27,green,2026-09-07,2
28,green,2026-09-07,21
31,half_ripened,2026-08-30,2
41,green,2026-09-07,23
44,green,2026-09-07,2
49,half_ripened,2026-08-30,2
57,green,2026-09-07,18
60,green,2026-09-07,16
81,green,2026-09-07,2
82,green,2026-09-07,5
83,half_ripened,2026-08-30,11
84,half_ripened,2026-08-30,11
97,half_ripened,2026-08-30,58
118,green,2026-09-07,1
128,green,2026-09-07,15
132,fully_ripened,2026-08-24,31
138,green,2026-09-07,15
146,half_ripened,2026-08-30,19
147,green,2026-09-07,1
168,green,2026-09-07,8
200,green,2026-09-07,2
208,green,2026-09-07,6
231,green,2026-09-07,54
247,green,2026-09-07,49
252,green,2026-09-07,1
263,green,2026-09-07,1
266,green,2026-09-07,2
274,green,2026-09-07,2
276,green,2026-09-07,49
283,green,2026-09-07,2
288,green,2026-09-07,3
291,fully_ripened,2026-08-24,24
296,green,2026-09-07,3
303,green,2026-09-07,2
305,green,2026-09-07,3
315,green,2026-09-07,2
316,green,2026-09-07,1
324,green,2026-09-07,2
346,green,2026-09-07,44
400,half_ripened,2026-08-30,31
410,green,2026-09-07,1
424,green,2026-09-07,14
443,green,2026-09-07,19
448,fully_ripened,2026-08-24,23
449,green,2026-09-07,25
454,green,2026-09-07,7
461,green,2026-09-07,20
462,green,2026-09-07,17
482,half_ripened,2026-08-30,23
494,fully_ripened,2026-08-24,16
501,green,2026-09-07,18
502,fully_ripened,2026-08-24,11
507,half_ripened,2026-08-30,2
509,half_ripened,2026-08-30,1
511,green,2026-09-07,2
515,half_ripened,2026-08-30,9
516,half_ripened,2026-08-30,6
541,half_ripened,2026-08-30,40
552,green,2026-09-07,41
557,green,2026-09-07,12
567,green,2026-09-07,2
585,green,2026-09-07,3
586,green,2026-09-07,35
617,green,2026-09-07,35
629,green,2026-09-07,29
633,green,2026-09-07,29
641,green,2026-09-07,1
646,green,2026-09-07,35
648,green,2026-09-07,1
658,green,2026-09-07,2
670,green,2026-09-07,1
676,green,2026-09-07,22
680,green,2026-09-07,30
684,half_ripened,2026-08-30,1
686,green,2026-09-07,38
694,green,2026-09-07,23
696,green,2026-09-07,21
700,half_ripened,2026-08-30,1
709,green,2026-09-07,23
714,green,2026-09-07,1
745,green,2026-09-07,5
747,green,2026-09-07,29
762,green,2026-09-07,3
777,green,2026-09-07,4
779,green,2026-09-07,6
782,green,2026-09-07,21
798,half_ripened,2026-08-30,53
821,green,2026-09-07,20
848,green,2026-09-07,6
869,green,2026-09-07,3
870,green,2026-09-07,3
883,green,2026-09-07,10
892,green,2026-09-07,10
893,green,2026-09-07,2
895,fully_ripened,2026-08-24,2
898,green,2026-09-07,9
900,green,2026-09-07,7
901,green,2026-09-07,1
902,green,2026-09-07,8
903,fully_ripened,2026-08-24,7
905,green,2026-09-07,2
906,green,2026-09-07,1
910,green,2026-09-07,4
912,green,2026-09-07,45
916,green,2026-09-07,4
917,fully_ripened,2026-08-24,1
926,green,2026-09-07,13
935,half_ripened,2026-08-30,6
980,green,2026-09-07,11
987,green,2026-09-07,47
1005,green,2026-09-07,2
1007,fully_ripened,2026-08-24,26
1037,half_ripened,2026-08-30,43
1049,fully_ripened,2026-08-24,2
1081,green,2026-09-07,1
1096,fully_ripened,2026-08-24,1
1102,green,2026-09-07,1
1116,fully_ripened,2026-08-24,23
1139,green,2026-09-07,1
1151,green,2026-09-07,1
1152,green,2026-09-07,1
1161,fully_ripened,2026-08-24,2
1169,fully_ripened,2026-08-24,89
1170,green,2026-09-07,1
1195,fully_ripened,2026-08-24,87
1196,green,2026-09-07,2
1198,green,2026-09-07,46
1201,green,2026-09-07,7
1207,green,2026-09-07,1
1228,green,2026-09-07,1
1253,half_ripened,2026-08-30,78
1255,green,2026-09-07,39
1261,green,2026-09-07,1
1270,green,2026-09-07,1
1274,green,2026-09-07,1
1278,fully_ripened,2026-08-24,2
1279,green,2026-09-07,1
1299,green,2026-09-07,1
1304,green,2026-09-07,1
1307,green,2026-09-07,1
1315,fully_ripened,2026-08-24,12
1328,green,2026-09-07,1
1357,green,2026-09-07,1
1358,green,2026-09-07,30
1393,fully_ripened,2026-08-24,77
1452,green,2026-09-07,53
1460,fully_ripened,2026-08-24,7
1483,green,2026-09-07,13
